RSI,OB,OS,Final,Trades
5,60,20,1000000.0,15061
5,60,30,1000000.0,18034
14,60,40,1000000.0,16463
14,70,20,1000000.0,4484
14,70,30,1000000.0,6974
14,70,40,1000000.0,11807
14,80,20,1000000.0,1887
14,80,30,1000000.0,4377
14,80,40,1000000.0,9210
21,60,20,1000000.0,7481
21,60,30,1000000.0,9164
21,60,40,1000000.0,14159
21,70,20,1000000.0,2582
21,70,30,1000000.0,4265
21,70,40,1000000.0,9260
21,80,20,1000000.0,592
21,80,30,1000000.0,2275
14,60,30,1000000.0,11630
14,60,20,1000000.0,9140
7,80,40,1000000.0,13388
5,80,40,1000000.0,15087
5,60,40,1000000.0,21342
5,70,20,1000000.0,11885
5,70,30,1000000.0,14858
5,70,40,1000000.0,18166
5,80,20,1000000.0,8806
5,80,30,1000000.0,11779
7,60,20,1000000.0,12897
7,80,30,1000000.0,9205
7,60,30,1000000.0,16015
7,60,40,1000000.0,20198
7,70,20,1000000.0,9190
7,70,30,1000000.0,12308
7,70,40,1000000.0,16491
7,80,20,1000000.0,6087
21,80,40,1000000.0,7270
